Gen: 0, Best: 5186, Mean: 12621.533
Gen: 1, Best: 4267.5, Mean: 11978.291
Gen: 2, Best: 4267.5, Mean: 12146.769
Gen: 3, Best: 3743.4, Mean: 12284.995
Gen: 4, Best: 2723.1, Mean: 11783.794
Gen: 5, Best: 2723.1, Mean: 11649.469
Gen: 6, Best: 2723.1, Mean: 12192.571
Gen: 7, Best: 2723.1, Mean: 11877.027
Gen: 8, Best: 2723.1, Mean: 11474.286
Gen: 9, Best: 2723.1, Mean: 11701.568
Gen: 10, Best: 2678.9, Mean: 11585.958
Gen: 11, Best: 2535.8, Mean: 11450.786
Gen: 12, Best: 2535.8, Mean: 11376.696
Gen: 13, Best: 2535.8, Mean: 11919.076
Gen: 14, Best: 2535.8, Mean: 11206.232
Gen: 15, Best: 1421.4, Mean: 11231.1045
Gen: 16, Best: 1421.4, Mean: 11086.629
Gen: 17, Best: 1421.4, Mean: 11337.269
Gen: 18, Best: 1421.4, Mean: 11044.722
Gen: 19, Best: 1421.4, Mean: 10673.981
Gen: 20, Best: 1421.4, Mean: 11242.774
Gen: 21, Best: 1421.4, Mean: 10569.059
Gen: 22, Best: 1421.4, Mean: 11028.415
Gen: 23, Best: 1421.4, Mean: 10694.256
Gen: 24, Best: 1421.4, Mean: 11119.517
Gen: 25, Best: 1421.4, Mean: 10747.638
Gen: 26, Best: 1421.4, Mean: 10892.928
Gen: 27, Best: 1421.4, Mean: 11315.847
Gen: 28, Best: 1421.4, Mean: 10699.714
Gen: 29, Best: 1421.4, Mean: 10789.241
Gen: 30, Best: 1421.4, Mean: 10386.987
Gen: 31, Best: 1421.4, Mean: 10558.991
Gen: 32, Best: 1069.7, Mean: 10255.398
Gen: 33, Best: 1069.7, Mean: 10045.912
Gen: 34, Best: 1069.7, Mean: 10435.783
Gen: 35, Best: 1069.7, Mean: 9962.782
Gen: 36, Best: 1069.7, Mean: 10289.487
Gen: 37, Best: 1069.7, Mean: 9986.184
Gen: 38, Best: 1069.7, Mean: 10165.042
Gen: 39, Best: 1069.7, Mean: 10452.162
Gen: 40, Best: 1069.7, Mean: 10393.227
Gen: 41, Best: 1069.7, Mean: 9896.596
Gen: 42, Best: 857.2, Mean: 10125.53
Gen: 43, Best: 857.2, Mean: 9734.497
Gen: 44, Best: 857.2, Mean: 10018.095
Gen: 45, Best: 857.2, Mean: 9965.689
Gen: 46, Best: 857.2, Mean: 9858.223
Gen: 47, Best: 857.2, Mean: 9878.25
Gen: 48, Best: 857.2, Mean: 9415.454
Gen: 49, Best: 857.2, Mean: 10013.712
Gen: 50, Best: 857.2, Mean: 9652.482
Gen: 51, Best: 857.2, Mean: 9264.847
Gen: 52, Best: 857.2, Mean: 9090.13
Gen: 53, Best: 857.2, Mean: 9537.035
Gen: 54, Best: 857.2, Mean: 9293.559
Gen: 55, Best: 857.2, Mean: 9596.708
Gen: 56, Best: 857.2, Mean: 9440.959
Gen: 57, Best: 857.2, Mean: 9222.976
Gen: 58, Best: 857.2, Mean: 9601.288
Gen: 59, Best: 857.2, Mean: 9137.822
Gen: 60, Best: 857.2, Mean: 9240.819
Gen: 61, Best: 857.2, Mean: 9089.715
Gen: 62, Best: 202.8, Mean: 8643.117
Gen: 63, Best: 202.8, Mean: 9169.534
Gen: 64, Best: 202.8, Mean: 8707.562
Gen: 65, Best: 202.8, Mean: 9344.558
Gen: 66, Best: 202.8, Mean: 9095.267
Gen: 67, Best: 202.8, Mean: 9141.29
Gen: 68, Best: 202.8, Mean: 9091.922
Gen: 69, Best: 202.8, Mean: 8743.24
Gen: 70, Best: 202.8, Mean: 9077.087
Gen: 71, Best: 202.8, Mean: 8727.071
Gen: 72, Best: 202.8, Mean: 8901.388
Gen: 73, Best: 202.8, Mean: 9076.06
Gen: 74, Best: 202.8, Mean: 8936.836
Gen: 75, Best: 202.8, Mean: 8975.739
Gen: 76, Best: 202.8, Mean: 9001.938
Gen: 77, Best: 202.8, Mean: 9066.301
Gen: 78, Best: 202.8, Mean: 9039.908
Gen: 79, Best: 202.8, Mean: 8683.473
Gen: 80, Best: 202.8, Mean: 8558.386
Gen: 81, Best: 202.8, Mean: 8583.089
Gen: 82, Best: 202.8, Mean: 8535.585
Gen: 83, Best: 202.8, Mean: 8501.6455
Gen: 84, Best: 202.8, Mean: 8737.523
Gen: 85, Best: 202.8, Mean: 8641.993
Gen: 86, Best: 202.8, Mean: 8640.829
Gen: 87, Best: 202.8, Mean: 8601.223
Gen: 88, Best: 202.8, Mean: 8606.958
Gen: 89, Best: 202.8, Mean: 8596.273
Gen: 90, Best: 202.8, Mean: 8453.342
Gen: 91, Best: 202.8, Mean: 8795.788
Gen: 92, Best: 202.8, Mean: 8443.6875
Gen: 93, Best: 202.8, Mean: 8571.603
Gen: 94, Best: 202.8, Mean: 8145.1484
Gen: 95, Best: 202.8, Mean: 8637.859
Gen: 96, Best: 202.8, Mean: 8535.286
Gen: 97, Best: 202.8, Mean: 8539.444
Gen: 98, Best: 202.8, Mean: 8206.406
Gen: 99, Best: 202.8, Mean: 8776.247
Gen: 100, Best: 202.8, Mean: 8441.454
