Gen: 0, Best: 1280.9, Mean: 3268.6917
Gen: 1, Best: 962.3, Mean: 3417.352
Gen: 2, Best: 962.3, Mean: 3364.395
Gen: 3, Best: 869.8, Mean: 3368.6492
Gen: 4, Best: 537.8, Mean: 3303.1511
Gen: 5, Best: 537.8, Mean: 3279.8162
Gen: 6, Best: 537.8, Mean: 3365.1714
Gen: 7, Best: 537.8, Mean: 3273.7615
Gen: 8, Best: 537.8, Mean: 3255.8977
Gen: 9, Best: 537.8, Mean: 3245.1807
Gen: 10, Best: 537.8, Mean: 3227.458
Gen: 11, Best: 537.8, Mean: 3254.9883
Gen: 12, Best: 537.8, Mean: 3251.1775
Gen: 13, Best: 537.8, Mean: 3218.4065
Gen: 14, Best: 537.8, Mean: 3141.869
Gen: 15, Best: 537.8, Mean: 3240.4038
Gen: 16, Best: 537.8, Mean: 3138.5652
Gen: 17, Best: 537.8, Mean: 3153.0208
Gen: 18, Best: 537.8, Mean: 3048.5935
Gen: 19, Best: 537.8, Mean: 3150.291
Gen: 20, Best: 537.8, Mean: 3213.257
Gen: 21, Best: 537.8, Mean: 3005.0793
Gen: 22, Best: 537.8, Mean: 3107.12
Gen: 23, Best: 537.8, Mean: 2984.537
Gen: 24, Best: 537.8, Mean: 3068.9636
Gen: 25, Best: 537.8, Mean: 3154.0469
Gen: 26, Best: 213.9, Mean: 3031.1863
Gen: 27, Best: 213.9, Mean: 2942.8354
Gen: 28, Best: 213.9, Mean: 2946.368
Gen: 29, Best: 213.9, Mean: 2907.5405
Gen: 30, Best: 213.9, Mean: 2979.4285
Gen: 31, Best: 213.9, Mean: 3068.8203
Gen: 32, Best: 213.9, Mean: 2887.8389
Gen: 33, Best: 213.9, Mean: 2934.2898
Gen: 34, Best: 213.9, Mean: 2822.2988
Gen: 35, Best: 213.9, Mean: 2919.8647
Gen: 36, Best: 213.9, Mean: 2930.278
Gen: 37, Best: 136.2, Mean: 2919.0854
Gen: 38, Best: 136.2, Mean: 2816.869
Gen: 39, Best: 136.2, Mean: 2857.9224
Gen: 40, Best: 136.2, Mean: 2809.6277
Gen: 41, Best: 136.2, Mean: 2794.508
Gen: 42, Best: 136.2, Mean: 2802.0193
Gen: 43, Best: 136.2, Mean: 2684.039
Gen: 44, Best: 136.2, Mean: 2758.376
Gen: 45, Best: 136.2, Mean: 2758.518
Gen: 46, Best: 136.2, Mean: 2697.627
Gen: 47, Best: 136.2, Mean: 2764.5168
Gen: 48, Best: 136.2, Mean: 2838.3145
Gen: 49, Best: 136.2, Mean: 2727.73
Gen: 50, Best: 136.2, Mean: 2727.3564
Gen: 51, Best: 136.2, Mean: 2661.4053
Gen: 52, Best: 136.2, Mean: 2538.4758
Gen: 53, Best: 136.2, Mean: 2605.5188
Gen: 54, Best: 136.2, Mean: 2678.0417
Gen: 55, Best: 136.2, Mean: 2524.978
Gen: 56, Best: 136.2, Mean: 2610.8376
Gen: 57, Best: 136.2, Mean: 2546.7913
Gen: 58, Best: 136.2, Mean: 2660.476
Gen: 59, Best: 136.2, Mean: 2469.2976
Gen: 60, Best: 133.9, Mean: 2342.3628
Gen: 61, Best: 133.9, Mean: 2421.6255
Gen: 62, Best: 133.9, Mean: 2527.2976
Gen: 63, Best: 133.9, Mean: 2523.9055
Gen: 64, Best: 133.9, Mean: 2387.8635
Gen: 65, Best: 133.9, Mean: 2373.6077
Gen: 66, Best: 133.9, Mean: 2381.4722
Gen: 67, Best: 133.9, Mean: 2487.7585
Gen: 68, Best: 133.9, Mean: 2216.794
Gen: 69, Best: 133.9, Mean: 2294.4263
Gen: 70, Best: 133.9, Mean: 2175.911
Gen: 71, Best: 75.6, Mean: 2224.54
Gen: 72, Best: 75.6, Mean: 2332.093
Gen: 73, Best: 75.6, Mean: 2324.63
Gen: 74, Best: 75.6, Mean: 2265.905
Gen: 75, Best: 75.6, Mean: 2230.572
Gen: 76, Best: 75.6, Mean: 2232.717
Gen: 77, Best: 75.6, Mean: 2304.396
Gen: 78, Best: 75.6, Mean: 2144.195
Gen: 79, Best: 75.6, Mean: 2196.092
Gen: 80, Best: 75.6, Mean: 2171.378
Gen: 81, Best: 75.6, Mean: 2081.8433
Gen: 82, Best: 75.6, Mean: 2144.424
Gen: 83, Best: 75.6, Mean: 2093.7888
Gen: 84, Best: 75.6, Mean: 2126.9236
Gen: 85, Best: 75.6, Mean: 2235.073
Gen: 86, Best: 75.6, Mean: 2064.7583
Gen: 87, Best: 75.6, Mean: 2241.5732
Gen: 88, Best: 75.6, Mean: 2073.447
Gen: 89, Best: 75.6, Mean: 2066.7468
Gen: 90, Best: 75.6, Mean: 2115.9937
Gen: 91, Best: 75.6, Mean: 2149.3484
Gen: 92, Best: 75.6, Mean: 2135.1055
Gen: 93, Best: 75.6, Mean: 2065.2585
Gen: 94, Best: 75.6, Mean: 2084.7292
Gen: 95, Best: 75.6, Mean: 2110.169
Gen: 96, Best: 75.6, Mean: 1990.8335
Gen: 97, Best: 75.6, Mean: 2005.6041
Gen: 98, Best: 75.6, Mean: 2030.8027
Gen: 99, Best: 75.6, Mean: 2052.6997
Gen: 100, Best: 75.6, Mean: 2081.7532
