Gen: 0, Best: 705, Mean: 8079.7344
Gen: 1, Best: 219.7, Mean: 7930.563
Gen: 2, Best: 219.7, Mean: 7791.052
Gen: 3, Best: 219.7, Mean: 8015.1323
Gen: 4, Best: 219.7, Mean: 8154.721
Gen: 5, Best: 219.7, Mean: 8203.357
Gen: 6, Best: 219.7, Mean: 8208.515
Gen: 7, Best: 219.7, Mean: 7856.7817
Gen: 8, Best: 219.7, Mean: 7558.5054
Gen: 9, Best: 219.7, Mean: 7229.836
Gen: 10, Best: 219.7, Mean: 7910.1016
Gen: 11, Best: 219.7, Mean: 7594.7563
Gen: 12, Best: 219.7, Mean: 7406.4883
Gen: 13, Best: 219.7, Mean: 7668.819
Gen: 14, Best: 219.7, Mean: 6938.3276
Gen: 15, Best: 219.7, Mean: 6964.342
Gen: 16, Best: 219.7, Mean: 7292.4365
Gen: 17, Best: 219.7, Mean: 7339.798
Gen: 18, Best: 219.7, Mean: 6604.3384
Gen: 19, Best: 219.7, Mean: 7256.271
Gen: 20, Best: 219.7, Mean: 6873.9956
Gen: 21, Best: 219.7, Mean: 7013.454
Gen: 22, Best: 219.7, Mean: 7018.882
Gen: 23, Best: 219.7, Mean: 6715.0244
Gen: 24, Best: 219.7, Mean: 6966.971
Gen: 25, Best: 219.7, Mean: 6595.813
Gen: 26, Best: 211.8, Mean: 6542.805
Gen: 27, Best: 205.8, Mean: 7169.5015
Gen: 28, Best: 205.8, Mean: 7081.273
Gen: 29, Best: 205.8, Mean: 6773.5063
Gen: 30, Best: 205.8, Mean: 6788.2334
Gen: 31, Best: 205.8, Mean: 6530.702
Gen: 32, Best: 205.8, Mean: 6770.1753
Gen: 33, Best: 127.7, Mean: 6903.2363
Gen: 34, Best: 127.7, Mean: 6124.2026
Gen: 35, Best: 127.7, Mean: 6773.2754
Gen: 36, Best: 127.7, Mean: 6764.3247
Gen: 37, Best: 127.7, Mean: 6570.375
Gen: 38, Best: 127.7, Mean: 6243.0938
Gen: 39, Best: 127.7, Mean: 6379.0386
Gen: 40, Best: 127.7, Mean: 6223.7417
Gen: 41, Best: 127.7, Mean: 5977.224
Gen: 42, Best: 127.7, Mean: 5924.416
Gen: 43, Best: 127.7, Mean: 5789.648
Gen: 44, Best: 127.7, Mean: 6142.9946
Gen: 45, Best: 127.7, Mean: 6108.5684
Gen: 46, Best: 127.7, Mean: 5913.555
Gen: 47, Best: 127.7, Mean: 5552.1504
Gen: 48, Best: 127.7, Mean: 5819.047
Gen: 49, Best: 127.7, Mean: 5338.074
Gen: 50, Best: 127.7, Mean: 5580.92
Gen: 51, Best: 127.7, Mean: 5786.2866
Gen: 52, Best: 127.7, Mean: 5343.9976
Gen: 53, Best: 127.7, Mean: 5642.6743
Gen: 54, Best: 114.4, Mean: 5215.1504
Gen: 55, Best: 114.4, Mean: 5675.366
Gen: 56, Best: 114.4, Mean: 5483.6865
Gen: 57, Best: 114.4, Mean: 5763.662
Gen: 58, Best: 114.4, Mean: 5227.064
Gen: 59, Best: 114.4, Mean: 5751.7705
Gen: 60, Best: 114.4, Mean: 5201.0117
Gen: 61, Best: 114.4, Mean: 5391.1777
Gen: 62, Best: 114.4, Mean: 5384.036
Gen: 63, Best: 114.4, Mean: 5606.8174
Gen: 64, Best: 114.4, Mean: 5483.496
Gen: 65, Best: 114.4, Mean: 5574.1724
Gen: 66, Best: 114.4, Mean: 5669.7485
Gen: 67, Best: 114.4, Mean: 5205.3257
Gen: 68, Best: 114.4, Mean: 5502.044
Gen: 69, Best: 114.4, Mean: 5008.2266
Gen: 70, Best: 114.4, Mean: 5180.266
Gen: 71, Best: 114.4, Mean: 5263.043
Gen: 72, Best: 114.4, Mean: 5296.194
Gen: 73, Best: 114.4, Mean: 5049.276
Gen: 74, Best: 114.4, Mean: 5171.48
Gen: 75, Best: 114.4, Mean: 5257.1787
Gen: 76, Best: 114.4, Mean: 5232.6265
Gen: 77, Best: 114.4, Mean: 5310.5674
Gen: 78, Best: 114.4, Mean: 5172.3438
Gen: 79, Best: 114.4, Mean: 5433.2495
Gen: 80, Best: 114.4, Mean: 5507.004
Gen: 81, Best: 114.4, Mean: 5434.7246
Gen: 82, Best: 114.4, Mean: 5242.5664
Gen: 83, Best: 114.4, Mean: 5325.3213
Gen: 84, Best: 114.4, Mean: 5236.455
Gen: 85, Best: 114.4, Mean: 5175.426
Gen: 86, Best: 114.4, Mean: 4980.236
Gen: 87, Best: 114.4, Mean: 4920.147
Gen: 88, Best: 114.4, Mean: 5293.902
Gen: 89, Best: 114.4, Mean: 5299.2295
Gen: 90, Best: 114.4, Mean: 4766.8906
Gen: 91, Best: 114.4, Mean: 5147.3574
Gen: 92, Best: 114.4, Mean: 4765.705
Gen: 93, Best: 114.4, Mean: 4755.372
Gen: 94, Best: 114.4, Mean: 4811.902
Gen: 95, Best: 114.4, Mean: 4794.3657
Gen: 96, Best: 114.4, Mean: 4851.787
Gen: 97, Best: 114.4, Mean: 4878.2754
Gen: 98, Best: 114.4, Mean: 4991.3276
Gen: 99, Best: 114.4, Mean: 4723.6333
Gen: 100, Best: 114.4, Mean: 4762.603
