Gen: 0, Best: 357.9, Mean: 1288.165
Gen: 1, Best: 312.1, Mean: 1312.0072
Gen: 2, Best: 312.1, Mean: 1224.535
Gen: 3, Best: 288.3, Mean: 1269.6797
Gen: 4, Best: 224, Mean: 1273.8397
Gen: 5, Best: 139.9, Mean: 1289.8231
Gen: 6, Best: 139.9, Mean: 1340.2277
Gen: 7, Best: 139.9, Mean: 1331.6549
Gen: 8, Best: 139.9, Mean: 1284.3655
Gen: 9, Best: 139.9, Mean: 1333.1592
Gen: 10, Best: 139.9, Mean: 1199.803
Gen: 11, Best: 139.9, Mean: 1241.6215
Gen: 12, Best: 139.9, Mean: 1287.0039
Gen: 13, Best: 139.9, Mean: 1224.7535
Gen: 14, Best: 139.9, Mean: 1250.7452
Gen: 15, Best: 139.9, Mean: 1219.0723
Gen: 16, Best: 139.9, Mean: 1278.1166
Gen: 17, Best: 139.9, Mean: 1217.1047
Gen: 18, Best: 139.9, Mean: 1228.0718
Gen: 19, Best: 126.7, Mean: 1212.9423
Gen: 20, Best: 126.7, Mean: 1270.1376
Gen: 21, Best: 126.7, Mean: 1204.6805
Gen: 22, Best: 126.7, Mean: 1211.9436
Gen: 23, Best: 126.7, Mean: 1225.0016
Gen: 24, Best: 126.7, Mean: 1220.5973
Gen: 25, Best: 126.7, Mean: 1242.7496
Gen: 26, Best: 126.7, Mean: 1181.1304
Gen: 27, Best: 126.7, Mean: 1194.3942
Gen: 28, Best: 126.7, Mean: 1169.8629
Gen: 29, Best: 126.7, Mean: 1154.5063
Gen: 30, Best: 126.7, Mean: 1172.7831
Gen: 31, Best: 126.7, Mean: 1136.3158
Gen: 32, Best: 126.7, Mean: 1140.7687
Gen: 33, Best: 126.7, Mean: 1156.3921
Gen: 34, Best: 126.7, Mean: 1125.4481
Gen: 35, Best: 112.5, Mean: 1129.06
Gen: 36, Best: 112.5, Mean: 1129.1628
Gen: 37, Best: 112.5, Mean: 1141.2861
Gen: 38, Best: 112.5, Mean: 1103.6527
Gen: 39, Best: 112.5, Mean: 1064.4911
Gen: 40, Best: 112.5, Mean: 1048.1241
Gen: 41, Best: 112.5, Mean: 1120.7363
Gen: 42, Best: 112.5, Mean: 1106.6346
Gen: 43, Best: 112.5, Mean: 1144.8112
Gen: 44, Best: 112.5, Mean: 1101.5425
Gen: 45, Best: 112.5, Mean: 1075.405
Gen: 46, Best: 112.5, Mean: 1096.646
Gen: 47, Best: 112.5, Mean: 1137.1438
Gen: 48, Best: 112.5, Mean: 1078.9668
Gen: 49, Best: 112.5, Mean: 1055.668
Gen: 50, Best: 112.5, Mean: 1072.278
Gen: 51, Best: 112.5, Mean: 1076.5444
Gen: 52, Best: 112.5, Mean: 1122.1702
Gen: 53, Best: 112.5, Mean: 1067.0757
Gen: 54, Best: 112.5, Mean: 1018.5103
Gen: 55, Best: 112.5, Mean: 1048.1133
Gen: 56, Best: 112.5, Mean: 1046.7755
Gen: 57, Best: 112.5, Mean: 1072.3839
Gen: 58, Best: 112.5, Mean: 1025.2678
Gen: 59, Best: 112.5, Mean: 1056.2595
Gen: 60, Best: 112.5, Mean: 1031.0925
Gen: 61, Best: 112.5, Mean: 1015.11194
Gen: 62, Best: 112.5, Mean: 1035.9822
Gen: 63, Best: 112.5, Mean: 1034.4424
Gen: 64, Best: 112.5, Mean: 1022.1882
Gen: 65, Best: 112.5, Mean: 1046.1343
Gen: 66, Best: 112.5, Mean: 1025.501
Gen: 67, Best: 112.5, Mean: 1020.1505
Gen: 68, Best: 112.5, Mean: 1026.2809
Gen: 69, Best: 112.5, Mean: 1003.3422
Gen: 70, Best: 112.5, Mean: 1058.1832
Gen: 71, Best: 112.5, Mean: 1022.3626
Gen: 72, Best: 112.5, Mean: 1052.0093
Gen: 73, Best: 112.5, Mean: 984.337
Gen: 74, Best: 112.5, Mean: 1006.7218
Gen: 75, Best: 112.4, Mean: 941.6773
Gen: 76, Best: 112.4, Mean: 999.8832
Gen: 77, Best: 112.4, Mean: 988.2898
Gen: 78, Best: 112.4, Mean: 967.07477
Gen: 79, Best: 112.4, Mean: 987.4773
Gen: 80, Best: 112.4, Mean: 978.4643
Gen: 81, Best: 112.4, Mean: 976.7804
Gen: 82, Best: 112.4, Mean: 984.4167
Gen: 83, Best: 112.4, Mean: 1036.206
Gen: 84, Best: 112.4, Mean: 976.7696
Gen: 85, Best: 112.4, Mean: 961.1188
Gen: 86, Best: 97.5, Mean: 976.78375
Gen: 87, Best: 97.5, Mean: 965.44116
Gen: 88, Best: 88, Mean: 936.80774
Gen: 89, Best: 88, Mean: 987.72266
Gen: 90, Best: 88, Mean: 988.0827
Gen: 91, Best: 88, Mean: 968.30927
Gen: 92, Best: 88, Mean: 982.6625
Gen: 93, Best: 88, Mean: 1059.4465
Gen: 94, Best: 88, Mean: 943.5821
Gen: 95, Best: 88, Mean: 977.27454
Gen: 96, Best: 88, Mean: 953.2707
Gen: 97, Best: 88, Mean: 910.40137
Gen: 98, Best: 88, Mean: 988.34454
Gen: 99, Best: 88, Mean: 959.90265
Gen: 100, Best: 88, Mean: 942.512
