Gen: 0, Best: 7289, Mean: 21286.588
Gen: 1, Best: 7289, Mean: 21929.912
Gen: 2, Best: 7289, Mean: 21473.576
Gen: 3, Best: 7289, Mean: 21620.002
Gen: 4, Best: 7284.6, Mean: 20850.613
Gen: 5, Best: 7284.6, Mean: 20619.65
Gen: 6, Best: 7284.6, Mean: 21245.125
Gen: 7, Best: 7284.6, Mean: 21124.498
Gen: 8, Best: 7284.6, Mean: 21205.203
Gen: 9, Best: 7284.6, Mean: 20981.836
Gen: 10, Best: 7284.6, Mean: 20517.23
Gen: 11, Best: 7284.6, Mean: 20579.947
Gen: 12, Best: 7284.6, Mean: 20575.975
Gen: 13, Best: 4166.5, Mean: 20476.838
Gen: 14, Best: 4166.5, Mean: 20614.154
Gen: 15, Best: 4166.5, Mean: 20099.313
Gen: 16, Best: 4166.5, Mean: 20338.986
Gen: 17, Best: 4166.5, Mean: 19809.598
Gen: 18, Best: 4166.5, Mean: 19331.695
Gen: 19, Best: 4166.5, Mean: 19510.998
Gen: 20, Best: 4166.5, Mean: 19275.475
Gen: 21, Best: 4166.5, Mean: 18725.666
Gen: 22, Best: 4166.5, Mean: 18794.473
Gen: 23, Best: 4166.5, Mean: 18530.969
Gen: 24, Best: 4166.5, Mean: 18037.248
Gen: 25, Best: 4166.5, Mean: 17782.021
Gen: 26, Best: 4166.5, Mean: 17485.523
Gen: 27, Best: 3109.8, Mean: 16932.775
Gen: 28, Best: 3109.8, Mean: 16789.443
Gen: 29, Best: 1270.5, Mean: 16365.181
Gen: 30, Best: 1270.5, Mean: 15949.932
Gen: 31, Best: 1270.5, Mean: 14944.773
Gen: 32, Best: 1270.5, Mean: 14902.698
Gen: 33, Best: 132.7, Mean: 14705.391
Gen: 34, Best: 132.7, Mean: 14513.377
Gen: 35, Best: 132.7, Mean: 13555.506
Gen: 36, Best: 132.7, Mean: 13608.183
Gen: 37, Best: 132.7, Mean: 13210.359
Gen: 38, Best: 132.7, Mean: 12768.272
Gen: 39, Best: 132.7, Mean: 12712.673
Gen: 40, Best: 111.1, Mean: 12856.433
Gen: 41, Best: 111.1, Mean: 12175.259
Gen: 42, Best: 111.1, Mean: 12066.077
Gen: 43, Best: 111.1, Mean: 12182.668
Gen: 44, Best: 111.1, Mean: 12224.648
Gen: 45, Best: 111.1, Mean: 11871.865
Gen: 46, Best: 111.1, Mean: 11362.094
Gen: 47, Best: 111.1, Mean: 10927.36
Gen: 48, Best: 101.5, Mean: 10382.479
Gen: 49, Best: 101.5, Mean: 11521.465
Gen: 50, Best: 85.3, Mean: 11271.296
Gen: 51, Best: 85.3, Mean: 11832.251
Gen: 52, Best: 85.3, Mean: 10993.767
Gen: 53, Best: 85.3, Mean: 11209.285
Gen: 54, Best: 80.4, Mean: 11179.726
Gen: 55, Best: 80.4, Mean: 11096.489
Gen: 56, Best: 80.4, Mean: 10517.895
Gen: 57, Best: 80.4, Mean: 11557.477
Gen: 58, Best: 79.1, Mean: 10785.615
Gen: 59, Best: 79.1, Mean: 11219.313
Gen: 60, Best: 79.1, Mean: 10765.242
Gen: 61, Best: 79.1, Mean: 10796.16
Gen: 62, Best: 79.1, Mean: 10073.485
Gen: 63, Best: 79.1, Mean: 10075.911
Gen: 64, Best: 79.1, Mean: 10135.409
Gen: 65, Best: 79.1, Mean: 9916.502
Gen: 66, Best: 79.1, Mean: 9822.239
Gen: 67, Best: 79.1, Mean: 10037.713
Gen: 68, Best: 77.6, Mean: 10177.436
Gen: 69, Best: 77.6, Mean: 9795.842
Gen: 70, Best: 77.6, Mean: 9935.834
Gen: 71, Best: 77.6, Mean: 9362.637
Gen: 72, Best: 77.6, Mean: 10203.0205
Gen: 73, Best: 77.6, Mean: 9882.886
Gen: 74, Best: 77.6, Mean: 9705.865
Gen: 75, Best: 77.6, Mean: 10074.648
Gen: 76, Best: 77.6, Mean: 9671.46
Gen: 77, Best: 77.6, Mean: 9798.864
Gen: 78, Best: 77.6, Mean: 9776.369
Gen: 79, Best: 77.6, Mean: 10153.647
Gen: 80, Best: 77.6, Mean: 9591.91
Gen: 81, Best: 77.6, Mean: 9682.239
Gen: 82, Best: 77.6, Mean: 9247.592
Gen: 83, Best: 77.6, Mean: 10196.59
Gen: 84, Best: 77.6, Mean: 9248.392
Gen: 85, Best: 77.6, Mean: 9500.805
Gen: 86, Best: 77.4, Mean: 9062.566
Gen: 87, Best: 77.4, Mean: 9421.82
Gen: 88, Best: 76.4, Mean: 9314.207
Gen: 89, Best: 76.4, Mean: 9687.028
Gen: 90, Best: 76.4, Mean: 9290.797
Gen: 91, Best: 76.4, Mean: 9263.632
Gen: 92, Best: 76.4, Mean: 9329.508
Gen: 93, Best: 76.4, Mean: 9658.83
Gen: 94, Best: 76.4, Mean: 9362.337
Gen: 95, Best: 76.4, Mean: 9338.948
Gen: 96, Best: 76.4, Mean: 9138.28
Gen: 97, Best: 76.4, Mean: 9991.093
Gen: 98, Best: 76.4, Mean: 9305.859
Gen: 99, Best: 76.4, Mean: 9279.039
Gen: 100, Best: 76.4, Mean: 9405.503
