Gen: 0, Best: 4747.3, Mean: 12306.951
Gen: 1, Best: 3933.4, Mean: 12290.465
Gen: 2, Best: 3826.3, Mean: 12375.187
Gen: 3, Best: 3150.2, Mean: 12485.29
Gen: 4, Best: 3107.8, Mean: 12061.917
Gen: 5, Best: 2934.3, Mean: 11841.802
Gen: 6, Best: 2934.3, Mean: 11998.976
Gen: 7, Best: 2934.3, Mean: 12085.456
Gen: 8, Best: 2934.3, Mean: 12639.235
Gen: 9, Best: 2934.3, Mean: 11575.367
Gen: 10, Best: 2248.1, Mean: 12161.819
Gen: 11, Best: 2248.1, Mean: 11733.008
Gen: 12, Best: 2248.1, Mean: 12140.372
Gen: 13, Best: 2248.1, Mean: 12051.26
Gen: 14, Best: 2159.5, Mean: 11668.678
Gen: 15, Best: 2159.5, Mean: 11456.809
Gen: 16, Best: 2159.5, Mean: 11591.115
Gen: 17, Best: 2159.5, Mean: 11910.739
Gen: 18, Best: 2159.5, Mean: 11796.107
Gen: 19, Best: 2159.5, Mean: 12375.032
Gen: 20, Best: 2159.5, Mean: 11779.132
Gen: 21, Best: 2159.5, Mean: 11497.546
Gen: 22, Best: 2159.5, Mean: 11503.395
Gen: 23, Best: 2159.5, Mean: 11037.344
Gen: 24, Best: 2159.5, Mean: 11620.352
Gen: 25, Best: 1925, Mean: 11332.981
Gen: 26, Best: 1925, Mean: 11623.523
Gen: 27, Best: 1925, Mean: 11424.465
Gen: 28, Best: 1925, Mean: 12001.753
Gen: 29, Best: 1713.4, Mean: 11355.306
Gen: 30, Best: 1713.4, Mean: 11490.608
Gen: 31, Best: 1713.4, Mean: 11651.056
Gen: 32, Best: 1668.6, Mean: 11296.151
Gen: 33, Best: 1668.6, Mean: 11246.79
Gen: 34, Best: 1668.6, Mean: 10837.126
Gen: 35, Best: 1668.6, Mean: 11606.893
Gen: 36, Best: 1668.6, Mean: 11385.85
Gen: 37, Best: 1668.6, Mean: 11367.885
Gen: 38, Best: 1668.6, Mean: 11462.85
Gen: 39, Best: 1668.6, Mean: 11050.934
Gen: 40, Best: 1668.6, Mean: 10955.515
Gen: 41, Best: 1668.6, Mean: 11434.213
Gen: 42, Best: 1668.6, Mean: 10809.2
Gen: 43, Best: 1668.6, Mean: 11213.522
Gen: 44, Best: 1631.9, Mean: 11168.453
Gen: 45, Best: 1631.9, Mean: 10877.251
Gen: 46, Best: 1631.9, Mean: 11320.561
Gen: 47, Best: 1631.9, Mean: 11425.649
Gen: 48, Best: 1631.9, Mean: 11030.019
Gen: 49, Best: 871.9, Mean: 10830.547
Gen: 50, Best: 871.9, Mean: 11152.597
Gen: 51, Best: 871.9, Mean: 10789.608
Gen: 52, Best: 871.9, Mean: 10926.379
Gen: 53, Best: 871.9, Mean: 10926.9375
Gen: 54, Best: 871.9, Mean: 11270.186
Gen: 55, Best: 871.9, Mean: 11483.745
Gen: 56, Best: 871.9, Mean: 11200.744
Gen: 57, Best: 871.9, Mean: 10889.677
Gen: 58, Best: 871.9, Mean: 10736.468
Gen: 59, Best: 871.9, Mean: 11112.903
Gen: 60, Best: 871.9, Mean: 11046.659
Gen: 61, Best: 871.9, Mean: 11055.801
Gen: 62, Best: 871.9, Mean: 10750.181
Gen: 63, Best: 871.9, Mean: 11080.924
Gen: 64, Best: 871.9, Mean: 11315.665
Gen: 65, Best: 871.9, Mean: 10822.251
Gen: 66, Best: 871.9, Mean: 10809.032
Gen: 67, Best: 871.9, Mean: 10638.013
Gen: 68, Best: 871.9, Mean: 11144.673
Gen: 69, Best: 871.9, Mean: 10978.028
Gen: 70, Best: 871.9, Mean: 10899.628
Gen: 71, Best: 871.9, Mean: 10625.286
Gen: 72, Best: 871.9, Mean: 11400.523
Gen: 73, Best: 871.9, Mean: 11300.474
Gen: 74, Best: 871.9, Mean: 10708.431
Gen: 75, Best: 871.9, Mean: 10531.3955
Gen: 76, Best: 871.9, Mean: 10855.305
Gen: 77, Best: 871.9, Mean: 10732.963
Gen: 78, Best: 871.9, Mean: 11126.521
Gen: 79, Best: 871.9, Mean: 10498.864
Gen: 80, Best: 871.9, Mean: 10828.704
Gen: 81, Best: 871.9, Mean: 10662.418
Gen: 82, Best: 871.9, Mean: 10740.754
Gen: 83, Best: 871.9, Mean: 10329.215
Gen: 84, Best: 871.9, Mean: 10643.633
Gen: 85, Best: 871.9, Mean: 10996.192
Gen: 86, Best: 871.9, Mean: 10853.179
Gen: 87, Best: 871.9, Mean: 10863.09
Gen: 88, Best: 871.9, Mean: 10725.3545
Gen: 89, Best: 871.9, Mean: 10059.48
Gen: 90, Best: 871.9, Mean: 10577.842
Gen: 91, Best: 871.9, Mean: 10371.102
Gen: 92, Best: 871.9, Mean: 9990.857
Gen: 93, Best: 871.9, Mean: 10530.759
Gen: 94, Best: 871.9, Mean: 10822.05
Gen: 95, Best: 871.9, Mean: 10665.183
Gen: 96, Best: 871.9, Mean: 10396.789
Gen: 97, Best: 871.9, Mean: 10706.828
Gen: 98, Best: 871.9, Mean: 10476.542
Gen: 99, Best: 871.9, Mean: 10814.72
Gen: 100, Best: 871.9, Mean: 10705.908
