Gen: 0, Best: 119.3, Mean: 1938.622
Gen: 1, Best: 119.3, Mean: 1919.5596
Gen: 2, Best: 81.7, Mean: 1978.5168
Gen: 3, Best: 81.7, Mean: 1936.7231
Gen: 4, Best: 81.7, Mean: 1917.7839
Gen: 5, Best: 81.7, Mean: 1680.0813
Gen: 6, Best: 67.4, Mean: 1858.2385
Gen: 7, Best: 67.4, Mean: 1821.5558
Gen: 8, Best: 67.4, Mean: 1802.8552
Gen: 9, Best: 67.4, Mean: 1731.103
Gen: 10, Best: 67.4, Mean: 1667.4258
Gen: 11, Best: 67.4, Mean: 1694.2194
Gen: 12, Best: 67.4, Mean: 1653.0161
Gen: 13, Best: 67.4, Mean: 1727.2483
Gen: 14, Best: 67.4, Mean: 1559.6462
Gen: 15, Best: 67.4, Mean: 1666.2817
Gen: 16, Best: 67.4, Mean: 1702.5706
Gen: 17, Best: 67.4, Mean: 1582.1604
Gen: 18, Best: 67.4, Mean: 1627.5254
Gen: 19, Best: 67.4, Mean: 1595.2175
Gen: 20, Best: 67.4, Mean: 1614.924
Gen: 21, Best: 67.4, Mean: 1462.5742
Gen: 22, Best: 67.4, Mean: 1576.2274
Gen: 23, Best: 67.4, Mean: 1573.3455
Gen: 24, Best: 67.4, Mean: 1546.2234
Gen: 25, Best: 67.4, Mean: 1555.0217
Gen: 26, Best: 67.4, Mean: 1652.275
Gen: 27, Best: 67.4, Mean: 1582.618
Gen: 28, Best: 67.4, Mean: 1468.6501
Gen: 29, Best: 67.4, Mean: 1473.6438
Gen: 30, Best: 67.4, Mean: 1454.4598
Gen: 31, Best: 67.4, Mean: 1425.166
Gen: 32, Best: 67.4, Mean: 1361.084
Gen: 33, Best: 67.4, Mean: 1365.3567
Gen: 34, Best: 62.2, Mean: 1410.0316
Gen: 35, Best: 62.2, Mean: 1486.5546
Gen: 36, Best: 62.2, Mean: 1431.9362
Gen: 37, Best: 62.2, Mean: 1329.1842
Gen: 38, Best: 62.2, Mean: 1342.0437
Gen: 39, Best: 62.2, Mean: 1381.9303
Gen: 40, Best: 54.9, Mean: 1307.4232
Gen: 41, Best: 54.9, Mean: 1238.1287
Gen: 42, Best: 54.9, Mean: 1258.775
Gen: 43, Best: 54.9, Mean: 1373.3363
Gen: 44, Best: 54.9, Mean: 1210.0785
Gen: 45, Best: 54.9, Mean: 1261.2031
Gen: 46, Best: 54.9, Mean: 1221.826
Gen: 47, Best: 54.9, Mean: 1277.3811
Gen: 48, Best: 54.9, Mean: 1202.0757
Gen: 49, Best: 54.9, Mean: 1261.0149
Gen: 50, Best: 54.9, Mean: 1140.8331
Gen: 51, Best: 54.9, Mean: 1228.9285
Gen: 52, Best: 54.9, Mean: 1244.7183
Gen: 53, Best: 54.9, Mean: 1164.5797
Gen: 54, Best: 54.9, Mean: 1365.6216
Gen: 55, Best: 54.9, Mean: 1179.5656
Gen: 56, Best: 54.9, Mean: 1139.76
Gen: 57, Best: 54.9, Mean: 1203.5667
Gen: 58, Best: 54.9, Mean: 1189.7059
Gen: 59, Best: 54.9, Mean: 1108.2113
Gen: 60, Best: 54.9, Mean: 1056.9275
Gen: 61, Best: 54.9, Mean: 1112.6062
Gen: 62, Best: 54.9, Mean: 1101.7754
Gen: 63, Best: 54.9, Mean: 1081.2478
Gen: 64, Best: 54.9, Mean: 1111.884
Gen: 65, Best: 54.9, Mean: 1037.422
Gen: 66, Best: 54.9, Mean: 1072.471
Gen: 67, Best: 54.9, Mean: 1125.0896
Gen: 68, Best: 54.9, Mean: 1065.161
Gen: 69, Best: 54.9, Mean: 1096.6112
Gen: 70, Best: 54.9, Mean: 1065.6696
Gen: 71, Best: 54.9, Mean: 1077.5698
Gen: 72, Best: 54.9, Mean: 1064.589
Gen: 73, Best: 54.9, Mean: 1149.4921
Gen: 74, Best: 54.9, Mean: 999.7124
Gen: 75, Best: 54.9, Mean: 1010.2706
Gen: 76, Best: 54.9, Mean: 986.13104
Gen: 77, Best: 54.9, Mean: 989.212
Gen: 78, Best: 54.9, Mean: 997.0383
Gen: 79, Best: 54.9, Mean: 994.3332
Gen: 80, Best: 54.9, Mean: 933.5076
Gen: 81, Best: 54.9, Mean: 977.4164
Gen: 82, Best: 54.9, Mean: 941.75977
Gen: 83, Best: 54.9, Mean: 961.7181
Gen: 84, Best: 54.9, Mean: 981.4595
Gen: 85, Best: 54.9, Mean: 956.01794
Gen: 86, Best: 54.9, Mean: 991.40454
Gen: 87, Best: 52.7, Mean: 1030.0762
Gen: 88, Best: 52.7, Mean: 1001.38074
Gen: 89, Best: 52.7, Mean: 855.0237
Gen: 90, Best: 52.7, Mean: 892.4323
Gen: 91, Best: 52.7, Mean: 883.29364
Gen: 92, Best: 52.7, Mean: 848.0999
Gen: 93, Best: 52.7, Mean: 911.0099
Gen: 94, Best: 50.9, Mean: 920.77435
Gen: 95, Best: 50.9, Mean: 892.8426
Gen: 96, Best: 50.9, Mean: 822.00586
Gen: 97, Best: 50.9, Mean: 975.28204
Gen: 98, Best: 50.9, Mean: 860.2191
Gen: 99, Best: 50.9, Mean: 898.2722
Gen: 100, Best: 50.9, Mean: 809.7731
