Gen: 0, Best: 11476.6, Mean: 22496.16
Gen: 1, Best: 11476.6, Mean: 22786.219
Gen: 2, Best: 9843.3, Mean: 22400.563
Gen: 3, Best: 9843.3, Mean: 23140.346
Gen: 4, Best: 9843.3, Mean: 22335.234
Gen: 5, Best: 9843.3, Mean: 22745.426
Gen: 6, Best: 9843.3, Mean: 22577.889
Gen: 7, Best: 8845.2, Mean: 22609.744
Gen: 8, Best: 8845.2, Mean: 22566.418
Gen: 9, Best: 8845.2, Mean: 22659.533
Gen: 10, Best: 8845.2, Mean: 22685.701
Gen: 11, Best: 8845.2, Mean: 22173.064
Gen: 12, Best: 8845.2, Mean: 22209.785
Gen: 13, Best: 8845.2, Mean: 22043.066
Gen: 14, Best: 8845.2, Mean: 21925.197
Gen: 15, Best: 8845.2, Mean: 22099.707
Gen: 16, Best: 8845.2, Mean: 22465.406
Gen: 17, Best: 8845.2, Mean: 21760.916
Gen: 18, Best: 8845.2, Mean: 22605.791
Gen: 19, Best: 8845.2, Mean: 22216.475
Gen: 20, Best: 8845.2, Mean: 22075.416
Gen: 21, Best: 8845.2, Mean: 22118.754
Gen: 22, Best: 8845.2, Mean: 22192.738
Gen: 23, Best: 8845.2, Mean: 22102.564
Gen: 24, Best: 8845.2, Mean: 21877.451
Gen: 25, Best: 8845.2, Mean: 21565.453
Gen: 26, Best: 8845.2, Mean: 21665.371
Gen: 27, Best: 8845.2, Mean: 22275.156
Gen: 28, Best: 8845.2, Mean: 22712.54
Gen: 29, Best: 8845.2, Mean: 21465.848
Gen: 30, Best: 8845.2, Mean: 22132.102
Gen: 31, Best: 8845.2, Mean: 21696.566
Gen: 32, Best: 8845.2, Mean: 21663.98
Gen: 33, Best: 8845.2, Mean: 22225.44
Gen: 34, Best: 8845.2, Mean: 22042.088
Gen: 35, Best: 6695.8, Mean: 21068.643
Gen: 36, Best: 6695.8, Mean: 21743.518
Gen: 37, Best: 6695.8, Mean: 21706.701
Gen: 38, Best: 6592.3, Mean: 21281.447
Gen: 39, Best: 6592.3, Mean: 20974.094
Gen: 40, Best: 6592.3, Mean: 21569.955
Gen: 41, Best: 6592.3, Mean: 21126.408
Gen: 42, Best: 6592.3, Mean: 20385.47
Gen: 43, Best: 6592.3, Mean: 20702.002
Gen: 44, Best: 6592.3, Mean: 20810.707
Gen: 45, Best: 3129.3, Mean: 21109.758
Gen: 46, Best: 3129.3, Mean: 20404.445
Gen: 47, Best: 3129.3, Mean: 20635.768
Gen: 48, Best: 3129.3, Mean: 20446.79
Gen: 49, Best: 3129.3, Mean: 20315.451
Gen: 50, Best: 3129.3, Mean: 20641.99
Gen: 51, Best: 3129.3, Mean: 20356.926
Gen: 52, Best: 2745.6, Mean: 20323.299
Gen: 53, Best: 2745.6, Mean: 20595.83
Gen: 54, Best: 2745.6, Mean: 20064.9
Gen: 55, Best: 2745.6, Mean: 20199.305
Gen: 56, Best: 2745.6, Mean: 19670.016
Gen: 57, Best: 2745.6, Mean: 19898.938
Gen: 58, Best: 2745.6, Mean: 19953.611
Gen: 59, Best: 2745.6, Mean: 19979.838
Gen: 60, Best: 2745.6, Mean: 19855.531
Gen: 61, Best: 2745.6, Mean: 20156.926
Gen: 62, Best: 2745.6, Mean: 19703.756
Gen: 63, Best: 2745.6, Mean: 19734.85
Gen: 64, Best: 2745.6, Mean: 19786.744
Gen: 65, Best: 2745.6, Mean: 19551.98
Gen: 66, Best: 2745.6, Mean: 19834.744
Gen: 67, Best: 2745.6, Mean: 20309.807
Gen: 68, Best: 2745.6, Mean: 19607.947
Gen: 69, Best: 2745.6, Mean: 19640.715
Gen: 70, Best: 2745.6, Mean: 19414.338
Gen: 71, Best: 2745.6, Mean: 19447.02
Gen: 72, Best: 2745.6, Mean: 19267.813
Gen: 73, Best: 2745.6, Mean: 19253.752
Gen: 74, Best: 2745.6, Mean: 19979.299
Gen: 75, Best: 2745.6, Mean: 19276.623
Gen: 76, Best: 2745.6, Mean: 19463.793
Gen: 77, Best: 2745.6, Mean: 19561.043
Gen: 78, Best: 2745.6, Mean: 19836.498
Gen: 79, Best: 2745.6, Mean: 19576.201
Gen: 80, Best: 2745.6, Mean: 19027.447
Gen: 81, Best: 2745.6, Mean: 18967.28
Gen: 82, Best: 2745.6, Mean: 19249.951
Gen: 83, Best: 2745.6, Mean: 19411.861
Gen: 84, Best: 2745.6, Mean: 18853.203
Gen: 85, Best: 2745.6, Mean: 19113.201
Gen: 86, Best: 2745.6, Mean: 18945.492
Gen: 87, Best: 2745.6, Mean: 18547.135
Gen: 88, Best: 2745.6, Mean: 19110.826
Gen: 89, Best: 2745.6, Mean: 19187.566
Gen: 90, Best: 2745.6, Mean: 19120.027
Gen: 91, Best: 2745.6, Mean: 17975.666
Gen: 92, Best: 2745.6, Mean: 19189.2
Gen: 93, Best: 2745.6, Mean: 18767.559
Gen: 94, Best: 2745.6, Mean: 19048.23
Gen: 95, Best: 2745.6, Mean: 18622.025
Gen: 96, Best: 2745.6, Mean: 18350.393
Gen: 97, Best: 2745.6, Mean: 18699.674
Gen: 98, Best: 2745.6, Mean: 18953.836
Gen: 99, Best: 2745.6, Mean: 18375.38
Gen: 100, Best: 2745.6, Mean: 18743.035
