Gen: 0, Best: 11738, Mean: 23101.67
Gen: 1, Best: 11364.8, Mean: 22714.43
Gen: 2, Best: 11364.8, Mean: 22790.588
Gen: 3, Best: 11364.8, Mean: 22757.1
Gen: 4, Best: 11364.8, Mean: 22829.604
Gen: 5, Best: 11364.8, Mean: 23119.717
Gen: 6, Best: 11364.8, Mean: 22981.715
Gen: 7, Best: 8469.5, Mean: 22436.846
Gen: 8, Best: 8469.5, Mean: 22240.203
Gen: 9, Best: 8469.5, Mean: 22030.973
Gen: 10, Best: 8469.5, Mean: 22263.902
Gen: 11, Best: 8469.5, Mean: 21949.764
Gen: 12, Best: 8469.5, Mean: 22327.783
Gen: 13, Best: 8469.5, Mean: 22475.43
Gen: 14, Best: 8339.1, Mean: 22255.125
Gen: 15, Best: 8339.1, Mean: 21554.97
Gen: 16, Best: 8339.1, Mean: 22171.875
Gen: 17, Best: 8339.1, Mean: 22080.002
Gen: 18, Best: 8339.1, Mean: 22028.639
Gen: 19, Best: 8339.1, Mean: 22353.857
Gen: 20, Best: 8339.1, Mean: 21610.236
Gen: 21, Best: 8339.1, Mean: 22075.813
Gen: 22, Best: 8339.1, Mean: 21797.137
Gen: 23, Best: 8339.1, Mean: 22213.248
Gen: 24, Best: 8339.1, Mean: 22150.426
Gen: 25, Best: 8339.1, Mean: 21683.236
Gen: 26, Best: 8339.1, Mean: 22229.102
Gen: 27, Best: 8339.1, Mean: 21183.893
Gen: 28, Best: 8339.1, Mean: 21594.084
Gen: 29, Best: 8339.1, Mean: 21314.83
Gen: 30, Best: 8339.1, Mean: 21659.11
Gen: 31, Best: 8339.1, Mean: 20997.875
Gen: 32, Best: 8339.1, Mean: 21344.898
Gen: 33, Best: 8339.1, Mean: 21024.828
Gen: 34, Best: 8339.1, Mean: 21369.246
Gen: 35, Best: 6459.6, Mean: 21146.643
Gen: 36, Best: 6459.6, Mean: 21066.488
Gen: 37, Best: 6459.6, Mean: 20915.676
Gen: 38, Best: 6459.6, Mean: 20711.57
Gen: 39, Best: 4207.3, Mean: 20631.92
Gen: 40, Best: 4207.3, Mean: 20695.82
Gen: 41, Best: 4207.3, Mean: 20696.393
Gen: 42, Best: 4207.3, Mean: 20135.209
Gen: 43, Best: 4207.3, Mean: 20372.133
Gen: 44, Best: 4207.3, Mean: 20730.598
Gen: 45, Best: 4207.3, Mean: 20529.656
Gen: 46, Best: 4207.3, Mean: 20275.045
Gen: 47, Best: 4207.3, Mean: 20611.756
Gen: 48, Best: 4207.3, Mean: 20112.012
Gen: 49, Best: 4207.3, Mean: 20588.568
Gen: 50, Best: 4207.3, Mean: 20298.994
Gen: 51, Best: 4207.3, Mean: 19750.965
Gen: 52, Best: 4207.3, Mean: 20311.49
Gen: 53, Best: 4207.3, Mean: 20145.773
Gen: 54, Best: 4207.3, Mean: 20331.207
Gen: 55, Best: 4207.3, Mean: 20290.16
Gen: 56, Best: 4207.3, Mean: 20004.936
Gen: 57, Best: 4207.3, Mean: 19974.838
Gen: 58, Best: 4207.3, Mean: 20102.465
Gen: 59, Best: 4207.3, Mean: 19770.418
Gen: 60, Best: 4207.3, Mean: 19361.084
Gen: 61, Best: 4207.3, Mean: 19858.375
Gen: 62, Best: 4207.3, Mean: 19674.219
Gen: 63, Best: 4207.3, Mean: 19564.709
Gen: 64, Best: 4207.3, Mean: 19810.563
Gen: 65, Best: 4207.3, Mean: 19854.904
Gen: 66, Best: 4207.3, Mean: 19644.23
Gen: 67, Best: 4207.3, Mean: 19554.467
Gen: 68, Best: 4207.3, Mean: 19836.148
Gen: 69, Best: 4207.3, Mean: 19200.092
Gen: 70, Best: 4207.3, Mean: 19192.037
Gen: 71, Best: 4207.3, Mean: 19167.707
Gen: 72, Best: 4207.3, Mean: 19647.79
Gen: 73, Best: 4207.3, Mean: 19947.078
Gen: 74, Best: 4207.3, Mean: 18827.3
Gen: 75, Best: 4207.3, Mean: 18885.81
Gen: 76, Best: 4207.3, Mean: 18927.475
Gen: 77, Best: 4207.3, Mean: 18912.55
Gen: 78, Best: 4207.3, Mean: 19003.654
Gen: 79, Best: 4207.3, Mean: 18693.61
Gen: 80, Best: 4181.7, Mean: 18963.584
Gen: 81, Best: 3213.4, Mean: 18971.93
Gen: 82, Best: 3213.4, Mean: 18591.688
Gen: 83, Best: 3213.4, Mean: 18916.467
Gen: 84, Best: 3213.4, Mean: 19307.91
Gen: 85, Best: 3213.4, Mean: 18867.102
Gen: 86, Best: 3213.4, Mean: 19298.754
Gen: 87, Best: 3213.4, Mean: 19401.85
Gen: 88, Best: 3213.4, Mean: 18615.525
Gen: 89, Best: 3213.4, Mean: 18760.889
Gen: 90, Best: 3213.4, Mean: 18686.48
Gen: 91, Best: 3213.4, Mean: 18846.479
Gen: 92, Best: 3213.4, Mean: 18736.348
Gen: 93, Best: 3213.4, Mean: 19002.61
Gen: 94, Best: 3213.4, Mean: 18740.078
Gen: 95, Best: 3213.4, Mean: 18704.715
Gen: 96, Best: 3213.4, Mean: 18180.316
Gen: 97, Best: 3213.4, Mean: 19120.486
Gen: 98, Best: 3213.4, Mean: 18919.861
Gen: 99, Best: 3213.4, Mean: 18814.18
Gen: 100, Best: 3213.4, Mean: 18481.223
