Gen: 0, Best: 13754.5, Mean: 23099.615
Gen: 1, Best: 12800.9, Mean: 23000.848
Gen: 2, Best: 12800.9, Mean: 23239.752
Gen: 3, Best: 12800.9, Mean: 22690.889
Gen: 4, Best: 12383.9, Mean: 22610.91
Gen: 5, Best: 12383.9, Mean: 23255.018
Gen: 6, Best: 12133.8, Mean: 22859.242
Gen: 7, Best: 10108.1, Mean: 22630.973
Gen: 8, Best: 10108.1, Mean: 22921.734
Gen: 9, Best: 10108.1, Mean: 22561.3
Gen: 10, Best: 10108.1, Mean: 22561.367
Gen: 11, Best: 10108.1, Mean: 22140.846
Gen: 12, Best: 10108.1, Mean: 22107.783
Gen: 13, Best: 10108.1, Mean: 22003.463
Gen: 14, Best: 9742.7, Mean: 22339.537
Gen: 15, Best: 9742.7, Mean: 22334.22
Gen: 16, Best: 9742.7, Mean: 22233.32
Gen: 17, Best: 9742.7, Mean: 22235.27
Gen: 18, Best: 9742.7, Mean: 21960.229
Gen: 19, Best: 9742.7, Mean: 22470.316
Gen: 20, Best: 9742.7, Mean: 22274.582
Gen: 21, Best: 9742.7, Mean: 22385.428
Gen: 22, Best: 8217, Mean: 21770.883
Gen: 23, Best: 8217, Mean: 21926.896
Gen: 24, Best: 8217, Mean: 21995.604
Gen: 25, Best: 8217, Mean: 22121.67
Gen: 26, Best: 8217, Mean: 21980.682
Gen: 27, Best: 8217, Mean: 21979.592
Gen: 28, Best: 8217, Mean: 21924.717
Gen: 29, Best: 8217, Mean: 21713.697
Gen: 30, Best: 8217, Mean: 21844.219
Gen: 31, Best: 8217, Mean: 22067.188
Gen: 32, Best: 8217, Mean: 22078.697
Gen: 33, Best: 8217, Mean: 22275.275
Gen: 34, Best: 8217, Mean: 21491.521
Gen: 35, Best: 8217, Mean: 21725.188
Gen: 36, Best: 8217, Mean: 22081.002
Gen: 37, Best: 8217, Mean: 21347.89
Gen: 38, Best: 8217, Mean: 22101.021
Gen: 39, Best: 8123.7, Mean: 21672.063
Gen: 40, Best: 8123.7, Mean: 21981.09
Gen: 41, Best: 8123.7, Mean: 21289.357
Gen: 42, Best: 8123.7, Mean: 21267.557
Gen: 43, Best: 8123.7, Mean: 21105.49
Gen: 44, Best: 8074.6, Mean: 21351.033
Gen: 45, Best: 8074.6, Mean: 21230.002
Gen: 46, Best: 8074.6, Mean: 20981.098
Gen: 47, Best: 8074.6, Mean: 20870.719
Gen: 48, Best: 8074.6, Mean: 20710.184
Gen: 49, Best: 8074.6, Mean: 21246.857
Gen: 50, Best: 8074.6, Mean: 20718.604
Gen: 51, Best: 8074.6, Mean: 20802.738
Gen: 52, Best: 8074.6, Mean: 20887.979
Gen: 53, Best: 7331.9, Mean: 20457.799
Gen: 54, Best: 7331.9, Mean: 20618.543
Gen: 55, Best: 7331.9, Mean: 20758.93
Gen: 56, Best: 7331.9, Mean: 21101.537
Gen: 57, Best: 7331.9, Mean: 20339.21
Gen: 58, Best: 3868, Mean: 20258.283
Gen: 59, Best: 3868, Mean: 20743.904
Gen: 60, Best: 3868, Mean: 20534.492
Gen: 61, Best: 3868, Mean: 20533.162
Gen: 62, Best: 3868, Mean: 20752.979
Gen: 63, Best: 3868, Mean: 20754.742
Gen: 64, Best: 3868, Mean: 20633.68
Gen: 65, Best: 3868, Mean: 20164.81
Gen: 66, Best: 3868, Mean: 20136.766
Gen: 67, Best: 3868, Mean: 20242.445
Gen: 68, Best: 3868, Mean: 20495.38
Gen: 69, Best: 3868, Mean: 20661.42
Gen: 70, Best: 3868, Mean: 20418.963
Gen: 71, Best: 3868, Mean: 21183.535
Gen: 72, Best: 3868, Mean: 20373.92
Gen: 73, Best: 3868, Mean: 19904.02
Gen: 74, Best: 3868, Mean: 20005.13
Gen: 75, Best: 3868, Mean: 20917.447
Gen: 76, Best: 3868, Mean: 20714.902
Gen: 77, Best: 3868, Mean: 20244.146
Gen: 78, Best: 3868, Mean: 20502.994
Gen: 79, Best: 3868, Mean: 20184.512
Gen: 80, Best: 3868, Mean: 19965.207
Gen: 81, Best: 3868, Mean: 19766.36
Gen: 82, Best: 3868, Mean: 20263.799
Gen: 83, Best: 3868, Mean: 20377.113
Gen: 84, Best: 3868, Mean: 20334.293
Gen: 85, Best: 3868, Mean: 20119.193
Gen: 86, Best: 3868, Mean: 19739.895
Gen: 87, Best: 3868, Mean: 20170.857
Gen: 88, Best: 3868, Mean: 20061.172
Gen: 89, Best: 3868, Mean: 19806.191
Gen: 90, Best: 3868, Mean: 20399.03
Gen: 91, Best: 3868, Mean: 20142.234
Gen: 92, Best: 3868, Mean: 20149.676
Gen: 93, Best: 3868, Mean: 19847.15
Gen: 94, Best: 3868, Mean: 20473.354
Gen: 95, Best: 3868, Mean: 20592.984
Gen: 96, Best: 3868, Mean: 19761.688
Gen: 97, Best: 3868, Mean: 19846.145
Gen: 98, Best: 3868, Mean: 19714.79
Gen: 99, Best: 3868, Mean: 19878.885
Gen: 100, Best: 3868, Mean: 20154.227
