Gen: 0, Best: 2591.4, Mean: 11749.345
Gen: 1, Best: 2591.4, Mean: 11101.599
Gen: 2, Best: 2591.4, Mean: 11276.873
Gen: 3, Best: 2424.2, Mean: 10586.192
Gen: 4, Best: 2424.2, Mean: 10300.26
Gen: 5, Best: 1547.9, Mean: 10790.101
Gen: 6, Best: 1547.9, Mean: 10228.136
Gen: 7, Best: 1547.9, Mean: 10067.967
Gen: 8, Best: 1547.9, Mean: 10451.923
Gen: 9, Best: 1547.9, Mean: 10234.956
Gen: 10, Best: 1508.4, Mean: 10214.028
Gen: 11, Best: 1508.4, Mean: 10228.208
Gen: 12, Best: 1508.4, Mean: 10162.045
Gen: 13, Best: 499.1, Mean: 10202.531
Gen: 14, Best: 499.1, Mean: 10562.48
Gen: 15, Best: 499.1, Mean: 10602.491
Gen: 16, Best: 499.1, Mean: 9768.26
Gen: 17, Best: 499.1, Mean: 10511.437
Gen: 18, Best: 499.1, Mean: 10311.899
Gen: 19, Best: 499.1, Mean: 10044.005
Gen: 20, Best: 499.1, Mean: 10093.729
Gen: 21, Best: 499.1, Mean: 9973.11
Gen: 22, Best: 499.1, Mean: 10344.814
Gen: 23, Best: 499.1, Mean: 9746.972
Gen: 24, Best: 499.1, Mean: 9851.531
Gen: 25, Best: 499.1, Mean: 10136.777
Gen: 26, Best: 499.1, Mean: 9494.8545
Gen: 27, Best: 499.1, Mean: 9792.677
Gen: 28, Best: 499.1, Mean: 9474.452
Gen: 29, Best: 499.1, Mean: 9386.608
Gen: 30, Best: 499.1, Mean: 9602.408
Gen: 31, Best: 499.1, Mean: 9655.73
Gen: 32, Best: 499.1, Mean: 9393.854
Gen: 33, Best: 499.1, Mean: 9051.156
Gen: 34, Best: 499.1, Mean: 9332.006
Gen: 35, Best: 499.1, Mean: 8972.128
Gen: 36, Best: 499.1, Mean: 9257.311
Gen: 37, Best: 499.1, Mean: 8989.394
Gen: 38, Best: 499.1, Mean: 9198.939
Gen: 39, Best: 499.1, Mean: 8812.953
Gen: 40, Best: 499.1, Mean: 9315.948
Gen: 41, Best: 499.1, Mean: 8340.163
Gen: 42, Best: 499.1, Mean: 8815.519
Gen: 43, Best: 499.1, Mean: 8299.042
Gen: 44, Best: 408.6, Mean: 8602.889
Gen: 45, Best: 408.6, Mean: 8433.583
Gen: 46, Best: 408.6, Mean: 8467.866
Gen: 47, Best: 408.6, Mean: 8539.564
Gen: 48, Best: 234.7, Mean: 8399.833
Gen: 49, Best: 234.7, Mean: 8021.107
Gen: 50, Best: 234.7, Mean: 8779.604
Gen: 51, Best: 234.7, Mean: 8737.333
Gen: 52, Best: 234.7, Mean: 8134.848
Gen: 53, Best: 234.7, Mean: 8162.3335
Gen: 54, Best: 234.7, Mean: 8196.269
Gen: 55, Best: 234.7, Mean: 8346.929
Gen: 56, Best: 234.7, Mean: 7935.86
Gen: 57, Best: 234.7, Mean: 8195.315
Gen: 58, Best: 234.7, Mean: 8205.119
Gen: 59, Best: 234.7, Mean: 8099.353
Gen: 60, Best: 234.7, Mean: 8036.468
Gen: 61, Best: 234.7, Mean: 8074.9165
Gen: 62, Best: 234.7, Mean: 8047.8086
Gen: 63, Best: 234.7, Mean: 8402.29
Gen: 64, Best: 234.7, Mean: 7983.0845
Gen: 65, Best: 234.7, Mean: 8218.199
Gen: 66, Best: 234.7, Mean: 8139.9287
Gen: 67, Best: 234.7, Mean: 7903.5366
Gen: 68, Best: 234.7, Mean: 7849.6143
Gen: 69, Best: 234.7, Mean: 7741.1025
Gen: 70, Best: 234.7, Mean: 7693.5005
Gen: 71, Best: 234.7, Mean: 7972.0073
Gen: 72, Best: 234.7, Mean: 8231.67
Gen: 73, Best: 234.7, Mean: 8215.276
Gen: 74, Best: 234.7, Mean: 7843.0073
Gen: 75, Best: 234.7, Mean: 8185.801
Gen: 76, Best: 215.9, Mean: 7627.023
Gen: 77, Best: 173.8, Mean: 7824.588
Gen: 78, Best: 173.8, Mean: 7935.1177
Gen: 79, Best: 173.8, Mean: 7760.7993
Gen: 80, Best: 173.8, Mean: 7808.755
Gen: 81, Best: 173.8, Mean: 7929.7007
Gen: 82, Best: 173.8, Mean: 7906.068
Gen: 83, Best: 173.8, Mean: 7260.528
Gen: 84, Best: 173.8, Mean: 7798.705
Gen: 85, Best: 173.8, Mean: 7783.793
Gen: 86, Best: 173.8, Mean: 8437.05
Gen: 87, Best: 173.8, Mean: 7879.288
Gen: 88, Best: 173.8, Mean: 8166.86
Gen: 89, Best: 173.8, Mean: 7607.4053
Gen: 90, Best: 173.8, Mean: 7627.507
Gen: 91, Best: 173.8, Mean: 7638.645
Gen: 92, Best: 173.8, Mean: 7560.1772
Gen: 93, Best: 173.8, Mean: 7519.526
Gen: 94, Best: 173.8, Mean: 7881.2725
Gen: 95, Best: 173.8, Mean: 7649.8755
Gen: 96, Best: 173.8, Mean: 7468.3384
Gen: 97, Best: 173.8, Mean: 7612.4688
Gen: 98, Best: 173.8, Mean: 7529.7637
Gen: 99, Best: 173.8, Mean: 7306.3525
Gen: 100, Best: 173.8, Mean: 7015.1963
