Gen: 0, Best: 4289.5, Mean: 12308.932
Gen: 1, Best: 2495.6, Mean: 12068.654
Gen: 2, Best: 2495.6, Mean: 12288.15
Gen: 3, Best: 2495.6, Mean: 11919.608
Gen: 4, Best: 2495.6, Mean: 11813.85
Gen: 5, Best: 2495.6, Mean: 12164.022
Gen: 6, Best: 2495.6, Mean: 12077.382
Gen: 7, Best: 2455.4, Mean: 12234.684
Gen: 8, Best: 2455.4, Mean: 12529.473
Gen: 9, Best: 2455.4, Mean: 12053.982
Gen: 10, Best: 2357, Mean: 12247.811
Gen: 11, Best: 1653.3, Mean: 11883.678
Gen: 12, Best: 1653.3, Mean: 12253.097
Gen: 13, Best: 1653.3, Mean: 12450.444
Gen: 14, Best: 1653.3, Mean: 11702.376
Gen: 15, Best: 1653.3, Mean: 12250.86
Gen: 16, Best: 1653.3, Mean: 12164.496
Gen: 17, Best: 1653.3, Mean: 12125.564
Gen: 18, Best: 1653.3, Mean: 11530.149
Gen: 19, Best: 1653.3, Mean: 11739.283
Gen: 20, Best: 1653.3, Mean: 11914.369
Gen: 21, Best: 1653.3, Mean: 11781.369
Gen: 22, Best: 1653.3, Mean: 11371.511
Gen: 23, Best: 1653.3, Mean: 11541.434
Gen: 24, Best: 1653.3, Mean: 11459.576
Gen: 25, Best: 1653.3, Mean: 11668.069
Gen: 26, Best: 1653.3, Mean: 11676.709
Gen: 27, Best: 1653.3, Mean: 11567.712
Gen: 28, Best: 1653.3, Mean: 11240.102
Gen: 29, Best: 1653.3, Mean: 10941.578
Gen: 30, Best: 1653.3, Mean: 10558.638
Gen: 31, Best: 1653.3, Mean: 10845.427
Gen: 32, Best: 1653.3, Mean: 10846.533
Gen: 33, Best: 1653.3, Mean: 10780.063
Gen: 34, Best: 1653.3, Mean: 10570.931
Gen: 35, Best: 1653.3, Mean: 10534.495
Gen: 36, Best: 1653.3, Mean: 10918.987
Gen: 37, Best: 1653.3, Mean: 10590.382
Gen: 38, Best: 1653.3, Mean: 10188.364
Gen: 39, Best: 1653.3, Mean: 10586.333
Gen: 40, Best: 1653.3, Mean: 10554.459
Gen: 41, Best: 1653.3, Mean: 10184.093
Gen: 42, Best: 1653.3, Mean: 10405.917
Gen: 43, Best: 784.8, Mean: 10224.501
Gen: 44, Best: 784.8, Mean: 10152.731
Gen: 45, Best: 784.8, Mean: 10002.999
Gen: 46, Best: 784.8, Mean: 10246.355
Gen: 47, Best: 784.8, Mean: 10304.871
Gen: 48, Best: 784.8, Mean: 10322.162
Gen: 49, Best: 784.8, Mean: 10436.059
Gen: 50, Best: 784.8, Mean: 10287.934
Gen: 51, Best: 784.8, Mean: 10323.908
Gen: 52, Best: 784.8, Mean: 10408.452
Gen: 53, Best: 346.2, Mean: 9869.249
Gen: 54, Best: 346.2, Mean: 10536.321
Gen: 55, Best: 346.2, Mean: 10006.624
Gen: 56, Best: 346.2, Mean: 10289.552
Gen: 57, Best: 346.2, Mean: 10137.122
Gen: 58, Best: 346.2, Mean: 9807.594
Gen: 59, Best: 346.2, Mean: 9826.308
Gen: 60, Best: 346.2, Mean: 9513.921
Gen: 61, Best: 346.2, Mean: 9429.83
Gen: 62, Best: 346.2, Mean: 9592.558
Gen: 63, Best: 346.2, Mean: 9542.08
Gen: 64, Best: 346.2, Mean: 9955.083
Gen: 65, Best: 346.2, Mean: 9711.862
Gen: 66, Best: 346.2, Mean: 9407.224
Gen: 67, Best: 346.2, Mean: 9471.965
Gen: 68, Best: 346.2, Mean: 9451.392
Gen: 69, Best: 346.2, Mean: 9508.22
Gen: 70, Best: 346.2, Mean: 9837.287
Gen: 71, Best: 346.2, Mean: 9268.33
Gen: 72, Best: 346.2, Mean: 9661.257
Gen: 73, Best: 346.2, Mean: 9635.62
Gen: 74, Best: 346.2, Mean: 9596.133
Gen: 75, Best: 346.2, Mean: 9863.399
Gen: 76, Best: 346.2, Mean: 9225.778
Gen: 77, Best: 346.2, Mean: 9041.214
Gen: 78, Best: 346.2, Mean: 9158.443
Gen: 79, Best: 346.2, Mean: 9597.778
Gen: 80, Best: 346.2, Mean: 9507.552
Gen: 81, Best: 346.2, Mean: 9278.155
Gen: 82, Best: 346.2, Mean: 9229.701
Gen: 83, Best: 346.2, Mean: 8896.315
Gen: 84, Best: 346.2, Mean: 9211.996
Gen: 85, Best: 346.2, Mean: 9435.217
Gen: 86, Best: 346.2, Mean: 8981.927
Gen: 87, Best: 346.2, Mean: 9360.279
Gen: 88, Best: 346.2, Mean: 9220.956
Gen: 89, Best: 346.2, Mean: 9280.635
Gen: 90, Best: 346.2, Mean: 9184.383
Gen: 91, Best: 346.2, Mean: 9407.49
Gen: 92, Best: 346.2, Mean: 9212.217
Gen: 93, Best: 346.2, Mean: 9569.308
Gen: 94, Best: 346.2, Mean: 9197.006
Gen: 95, Best: 346.2, Mean: 9149.926
Gen: 96, Best: 346.2, Mean: 8914.083
Gen: 97, Best: 346.2, Mean: 9025.643
Gen: 98, Best: 346.2, Mean: 9290.911
Gen: 99, Best: 346.2, Mean: 9005.526
Gen: 100, Best: 346.2, Mean: 8921.365
